BioProject	id	Heterogeneous.Selection	Homogeneous.Selection	Dispersal.Limitation	Homogenizing.Dispersal	Drift.and.Others
PRJNA546006	SRR9206739	0.022407261	0.103947493	0.345129843	0.001181952	0.52733345
PRJNA546006	SRR9206742	0.041791304	0.076250052	0.084713589	0.000394372	0.796850684
PRJNA546006	SRR9206749	0.03493903	0.218062375	0.190347454	0.004051761	0.55259938
PRJNA546006	SRR9206753	0.074647651	0.047438004	0.293743063	0.000784225	0.583387057
PRJNA546006	SRR9206755	0.028412311	0.085371645	0.526138629	0.003906472	0.356170943
PRJNA546006	SRR9206757	0.029936314	0.21733635	0.147331131	0.001689555	0.60370665
PRJNA546006	SRR9206758	0.021596677	0.105930598	0.162598436	0.001982309	0.707891979
PRJNA546006	SRR9206762	0.052128768	0.130203533	0.465668756	0.001884621	0.350114322
PRJNA546006	SRR9206766	0.031319621	0.098650031	0.378736672	0.001099818	0.490193858
PRJNA546006	SRR9206767	0.048960024	0.102242447	0.242985668	0.001841062	0.603970799
PRJNA546006	SRR9206769	0.11367225	0.098257839	0.114873496	0.000518227	0.672678187
PRJNA546006	SRR9206771	0.01310798	0.047293487	0.259670051	0.012145342	0.66778314
PRJNA546006	SRR9206774	0.02401697	0.115993871	0.124236346	0.0007097	0.735043114
PRJNA546006	SRR9206776	0.018547973	0.148943884	0.12980477	0.000835321	0.701868052
PRJNA546006	SRR9206778	0.028274289	0.188447549	0.227962747	0.000553715	0.554761701
PRJNA546006	SRR9206780	0.041565946	0.088332906	0.134656121	0.001293241	0.734151787
PRJNA546006	SRR9206782	0.033791105	0.091723674	0.115876713	0.00142548	0.757183028
PRJNA546006	SRR9206783	0.05999702	0.181100216	0.348340964	0.002054557	0.408507243
PRJNA546006	SRR9206791	0.017312026	0.26304084	0.284702917	0.000937889	0.434006327
PRJNA546006	SRR9206795	0.020880181	0.15612743	0.201329926	0.000772021	0.620890442
PRJNA546006	SRR9206797	0.022526742	0.172599279	0.363935487	0.001340693	0.439597799
PRJNA546006	SRR9206798	0.019152427	0.145760668	0.405588426	0.001035419	0.42846306
PRJNA546006	SRR9206800	0.026236297	0.120932489	0.100016373	0.000781979	0.752032862
PRJNA546006	SRR9206802	0.090900674	0.230418649	0.283462299	0.000936544	0.394281834
PRJNA546006	SRR9206805	0.044097375	0.204613573	0.181308911	0.002406487	0.567573653
PRJNA546006	SRR9206808	0.025369696	0.27473094	0.119538226	0.001901867	0.578459272
PRJNA546006	SRR9206811	0.020719109	0.189040431	0.149667464	0.002209747	0.63836325
PRJNA546006	SRR9206815	0.021917794	0.177756172	0.082966674	0.0002941	0.717065259
PRJNA546006	SRR9206820	0.023792446	0.14412399	0.2750392	0.004235181	0.552809182
PRJNA546006	SRR9206828	0.009289093	0.102037815	0.468152008	0.003292208	0.417228876
PRJNA546006	SRR9206832	0.015019634	0.081678021	0.381489998	0.002883957	0.518928391
PRJNA564811	SRR10097962	0	0.058460018	0.941539982	0	0
PRJNA564811	SRR10097963	0	0.088037015	0.911962985	0	0
PRJNA564811	SRR10097964	0.011369267	0.077656465	0.910974268	0	0
PRJNA564811	SRR10097965	0	0.00745998	0.99254002	0	0
PRJNA564811	SRR10097966	0.008564232	0	0.991435768	0	0
PRJNA564811	SRR10097967	0.001773215	0.02920505	0.969021735	0	0
PRJNA564811	SRR10097968	0.046502207	0.068342268	0.885155525	0	0
PRJNA564811	SRR10097969	0.003940269	0.177235479	0.818824252	0	0
PRJNA564811	SRR10097970	0	0.272848813	0.727151187	0	0
PRJNA564811	SRR10097971	0.092065332	0.212041853	0.695892815	0	0
PRJNA564811	SRR10097972	0.165508652	0.001212147	0.833279201	0	0
PRJNA564811	SRR10097973	0.004713294	0.076542918	0.918743788	0	0
PRJNA564811	SRR10097974	0.035954213	0.104901799	0.859143988	0	0
PRJNA564811	SRR10097976	0.012792429	0.150068708	0.837138863	0	0
PRJNA564811	SRR10097977	0.030221663	0.347619529	0.622158808	0	0
PRJNA564811	SRR10097978	0.0225113	0.150088588	0.827400112	0	0
PRJNA564811	SRR10097980	0.002279777	0.033571725	0.964148497	0	0
PRJNA564811	SRR10097981	0.008507449	0.077460988	0.914031564	0	0
PRJNA564811	SRR10097983	0.082258266	0.04219702	0.875544714	0	0
PRJNA564811	SRR10097985	0.039912546	0.050152568	0.909934886	0	0
PRJNA564811	SRR10097986	0.030400097	0.271104835	0.698423043	0	7.20E-05
PRJNA564811	SRR10097987	0.03680259	0.084802071	0.878395339	0	0
PRJNA564811	SRR10097989	0.043293085	0.089801097	0.866905819	0	0
PRJNA564811	SRR10097990	0.041228919	0.066090087	0.892680993	0	0
PRJNA564811	SRR10097991	0.031155797	0.105853031	0.862991172	0	0
PRJNA564811	SRR10097992	0.036575828	0.10080981	0.862614362	0	0
PRJNA564811	SRR10097993	0.009322853	0.092382161	0.898294986	0	0
PRJNA564811	SRR10097994	0.019890292	0.094962682	0.885147025	0	0
PRJNA564811	SRR10097995	0.029029413	0.076397845	0.894572743	0	0
PRJNA564811	SRR10097996	0.023743651	0.045481493	0.930774857	0	0
PRJNA564811	SRR10097997	0.075407758	0.14504356	0.779548682	0	0
PRJNA564811	SRR10097998	0.001582881	0.057278623	0.941138495	0	0
PRJNA564811	SRR10097999	0.028477234	0.054538904	0.916959812	0	2.41E-05
PRJNA564811	SRR10098000	0.028926407	0.061937423	0.90913617	0	0
PRJNA564811	SRR10098001	0.022585219	0.077980978	0.899433803	0	0
PRJNA564811	SRR10098002	0.05757715	0.056801199	0.885621651	0	0
PRJNA564811	SRR10098003	0.045139677	0.072204222	0.882656101	0	0
PRJNA564811	SRR10098004	0.016036205	0.032606309	0.951357486	0	0
PRJNA564811	SRR10098005	0.016331644	0.047509722	0.936158634	0	0
PRJNA564811	SRR10098006	0.016282628	0.16579602	0.817921352	0	0
PRJNA564811	SRR10098007	0.018000543	0.128077994	0.853921463	0	0
PRJNA564811	SRR10098008	0.013035667	0.197178381	0.789785952	0	0
PRJNA564811	SRR10098009	0.021804635	0.046204491	0.931990874	0	0
PRJNA564811	SRR10098010	0.020831946	0.033098387	0.946069667	0	0
PRJNA564811	SRR10098011	0.007223669	0.155255722	0.837344242	0	0.000176367
PRJNA564811	SRR10098012	0.013098195	0.194244796	0.792612657	0	4.44E-05
PRJNA564811	SRR10098013	0.008094801	0.105392895	0.886159738	0	0.000352566
PRJNA564811	SRR10098014	0.011032733	0.079681542	0.909032298	0	0.000253427
PRJNA564811	SRR10098015	0.074657544	0.115523243	0.809819213	0	0
PRJNA564811	SRR10098016	0.020170378	0.096010343	0.883819279	0	0
PRJNA564811	SRR10098017	0.004767679	0.136243812	0.858406194	0	0.000582315
PRJNA564811	SRR10098019	0.017969516	0.107770611	0.874259872	0	0
PRJNA564811	SRR10098020	0.049087339	0.076228793	0.874683868	0	0
PRJNA564811	SRR10098021	0.024839352	0.074282975	0.900877673	0	0
PRJNA564811	SRR10098022	0.022500692	0.050941329	0.92655798	0	0
PRJNA564811	SRR10098023	0.009033357	0.086877626	0.904089017	0	0
PRJNA564811	SRR10098024	0.010151641	0.096280489	0.890382459	0	0.003185411
PRJNA564811	SRR10098025	0.005590171	0.111788439	0.882216043	0	0.000405348
PRJNA564811	SRR10098026	0.003710879	0.137651363	0.858637757	0	0
PRJNA564811	SRR10098027	0.032359456	0.131679779	0.835960765	0	0
PRJNA564811	SRR10098029	0.011665601	0.210445283	0.777889116	0	0
PRJNA564811	SRR10098030	0.006131958	0.145764214	0.848103828	0	0
PRJNA564811	SRR10098031	0.019902624	0.112872142	0.867225234	0	0
PRJNA564811	SRR10098032	0.021520251	0.103961239	0.87451851	0	0
PRJNA564811	SRR10098033	0.019545432	0.197293802	0.783160765	0	0
PRJNA564811	SRR10098034	0.076842607	0.201009444	0.722147949	0	0
PRJNA564811	SRR10098035	0.08785897	0.149469006	0.762672024	0	0
PRJNA564811	SRR10098036	0.017858177	0.134895372	0.847246451	0	0
PRJNA564811	SRR10098037	0.028335256	0.1191414	0.852523344	0	0
PRJNA564811	SRR10098038	0.07746266	0.143989304	0.778548036	0	0
PRJNA564811	SRR10098039	0.073798135	0.158582983	0.767618882	0	0
PRJNA564811	SRR10098040	0.018124188	0.113202468	0.868519158	0	0.000154186
PRJNA564811	SRR10098041	0.019292129	0.116307535	0.864400336	0	0
PRJNA564811	SRR10098043	0.013011363	0.095860904	0.891127733	0	0
PRJNA564811	SRR10098047	0.024911987	0.06064856	0.914439453	0	0
PRJNA564811	SRR10098048	0.012973192	0.066987087	0.920039721	0	0
PRJNA564811	SRR10098049	0.014033922	0.069027996	0.916938082	0	0
PRJNA564811	SRR10098050	0.034262116	0.195155765	0.770582118	0	0
PRJNA564811	SRR10098051	0.033990892	0.196253612	0.769755496	0	0
PRJNA564811	SRR10098052	0.010471877	0.072720325	0.916807798	0	0
PRJNA564811	SRR10098053	0.005534992	0.067266159	0.927198849	0	0
PRJNA564811	SRR10098054	0.012763	0.100206556	0.887030445	0	0
PRJNA564811	SRR10098055	0.026799943	0.061308132	0.911891925	0	0
PRJNA564811	SRR10098056	0.050218123	0.075771793	0.874010084	0	0
PRJNA564811	SRR10098057	0.022000511	0.137733612	0.840265877	0	0
PRJNA564811	SRR10098058	0.012036487	0.15615473	0.831808783	0	0
PRJNA564811	SRR10098059	0.021434429	0.094681379	0.883884192	0	0
PRJNA564811	SRR10098060	0.013284113	0.096525315	0.890190572	0	0
PRJNA564811	SRR10098061	0.020655355	0.12403173	0.855312915	0	0
PRJNA564811	SRR10098062	0.021024544	0.168777916	0.81019754	0	0
PRJNA564811	SRR10098063	0.003623139	0.090232451	0.906140007	0	4.40E-06
PRJNA564811	SRR10098064	0.018604212	0.080959871	0.900435917	0	0
PRJNA564811	SRR10098065	0.015437845	0.166042089	0.818520066	0	0
PRJNA564811	SRR10098066	0.015330712	0.105684673	0.878984614	0	0
PRJNA564811	SRR10098067	0.011234149	0.070750214	0.918015637	0	0
PRJNA564811	SRR10098068	0.013007927	0.116151282	0.87084079	0	0
PRJNA564811	SRR10098069	0.010263431	0.079131759	0.910216786	0	0.000388023
PRJNA564811	SRR10098070	0.044464468	0.057660951	0.897743274	0	0.000131306
PRJNA564811	SRR10098071	0.041487341	0.022206356	0.936298286	0	8.02E-06
PRJNA564811	SRR10098072	0.019689953	0.022794405	0.957507705	0	7.94E-06
PRJNA564811	SRR10098073	0.024091509	0.243882519	0.731951763	0	7.42E-05
PRJNA564811	SRR10098074	0.018585318	0.167468934	0.813945748	0	0
PRJNA564811	SRR10098075	0.015191675	0.099665336	0.88514299	0	0
PRJNA564811	SRR10098076	0.014875769	0.101306791	0.88381744	0	0
PRJNA564811	SRR10098077	0.011019825	0.06874304	0.920237134	0	0
PRJNA564811	SRR10098078	0.019967422	0.063259245	0.916773333	0	0
PRJNA564811	SRR10098079	0.093704095	0.203733185	0.702546415	0	1.63E-05
PRJNA564811	SRR10098080	0.007680342	0.044583133	0.947736524	0	0
PRJNA564811	SRR10098081	0.009088483	0.067303718	0.923566765	0	4.10E-05
PRJNA564811	SRR10098082	0.017071942	0.069440768	0.913487291	0	0
PRJNA564811	SRR10098083	0.004785579	0.091806881	0.90340754	0	0
PRJNA564811	SRR10098086	0.123933125	0.040541564	0.835525311	0	0
PRJNA564811	SRR10098087	0.045855118	0.042643009	0.911494695	0	7.18E-06
PRJNA564811	SRR10098088	0.005695358	0.11745202	0.876791758	0	6.09E-05
PRJNA564811	SRR10098089	0.016426149	0.078218228	0.905333466	0	2.22E-05
PRJNA564811	SRR10098090	0.037062413	0.164589305	0.798348283	0	0
PRJNA564811	SRR10098091	0.015332604	0.130118079	0.854549316	0	0
PRJNA564811	SRR10098092	0.02359073	0.06900062	0.90740865	0	0
PRJNA564811	SRR10098093	0.025047334	0.157503457	0.817449209	0	0
PRJNA564811	SRR10098094	0.061161783	0.103285849	0.835552368	0	0
PRJNA564811	SRR10098096	0.023043313	0.122146139	0.854810547	0	0
PRJNA564811	SRR10098097	0.019645522	0.100641151	0.879713327	0	0
PRJNA564811	SRR10098098	0.089335555	0.122409658	0.788254786	0	0
PRJNA564811	SRR10098099	0.024370305	0.163424238	0.812205458	0	0
PRJNA564811	SRR10098100	0.021234708	0.060634156	0.918131137	0	0
PRJNA564811	SRR10098101	0.018156123	0.062074159	0.919769718	0	0
PRJNA564811	SRR10098102	0.021197492	0.086342983	0.892459525	0	0
PRJNA564811	SRR10098103	0.008942963	0.070337072	0.920719965	0	0
PRJNA564811	SRR10098104	0.009274943	0.080943373	0.909781684	0	0
PRJNA564811	SRR10098105	0.011325926	0.087877045	0.900797029	0	0
PRJNA564811	SRR10098106	0.025972857	0.075003013	0.89902413	0	0
PRJNA564811	SRR10098107	0.043121925	0.071249158	0.885628917	0	0
PRJNA564811	SRR10098108	0.022726496	0.076339569	0.900933935	0	0
PRJNA564811	SRR10098109	0.08850953	0.140337489	0.771152981	0	0
PRJNA564811	SRR10098110	0.113743394	0.078178386	0.80807822	0	0
PRJNA564811	SRR10098111	0.028221746	0.155372769	0.816405485	0	0
PRJNA564811	SRR10098112	0.05348525	0.195636432	0.750878318	0	0
PRJNA564811	SRR10098113	0.164446034	0.081082459	0.754371439	0	0.000100068
PRJNA564811	SRR10098115	0.01685738	0.101421256	0.881721364	0	0
PRJNA564811	SRR10098116	0.014764479	0.070558845	0.914676676	0	0
PRJNA564811	SRR10098117	0.015430053	0.094822829	0.889513669	0	0.000233449
PRJNA564811	SRR10098119	0.019815477	0.156101229	0.824083294	0	0
PRJNA564811	SRR10098120	0.024881766	0.109242392	0.86573606	0	0.000139783
PRJNA564811	SRR10098121	0.019896446	0.124582928	0.855520626	0	0
PRJNA564811	SRR10098122	0.023555298	0.111105339	0.865339363	0	0
PRJNA564811	SRR10098123	0.016084869	0.083756242	0.900158889	0	0
PRJNA564811	SRR10098124	0.048073913	0.2314018	0.720338931	0	0.000185357
PRJNA564811	SRR10098125	0.012017565	0.139702858	0.84808147	0	0.000198107
PRJNA564811	SRR10098127	0.012253693	0.070702043	0.917044264	0	0
PRJNA564811	SRR10098128	0.016730545	0.09469096	0.888578495	0	0
PRJNA564811	SRR10098129	0.01083898	0.071908984	0.917252036	0	0
PRJNA564811	SRR10098130	0.059861897	0.020298623	0.918596894	0	0.001242586
PRJNA564811	SRR10098131	0.054665604	0.074721625	0.869909367	0	0.000703404
PRJNA564811	SRR10098132	0.039254212	0.118909009	0.841711743	0	0.000125036
PRJNA564811	SRR10098133	0.016516948	0.202172545	0.781172531	0	0.000137977
PRJNA564811	SRR10098134	0.029522612	0.115949003	0.854528385	0	0
PRJNA564811	SRR10098138	0.018234825	0.055714842	0.926050334	0	0
PRJNA564811	SRR10098139	0.022558943	0.056296609	0.921144448	0	0
PRJNA564811	SRR10098140	0.045206931	0.103264436	0.851528633	0	0
PRJNA564811	SRR10098141	0.020852402	0.142394773	0.836741969	0	1.09E-05
PRJNA564811	SRR10098145	0.01884458	0.070420153	0.910533965	0	0.000201301
PRJNA564811	SRR10098146	0.024308206	0.077524135	0.89800997	0	0.000157688
PRJNA564811	SRR10098148	0.037214136	0.104090543	0.858581925	0	0.000113396
PRJNA564811	SRR10098152	0.039823649	0.18226424	0.777912111	0	0
PRJNA564811	SRR10098153	0.047874293	0.205728898	0.746396809	0	0
PRJNA564811	SRR10098154	0.015016466	0.10636114	0.878622394	0	0
PRJNA564811	SRR10098155	0.015682013	0.089285726	0.895032261	0	0
PRJNA564811	SRR10098156	0.014014523	0.131116613	0.854868865	0	0
PRJNA564811	SRR10098157	0.020133374	0.12788474	0.851981886	0	0
PRJNA564811	SRR10098158	0.046845258	0.145710583	0.807444159	0	0
PRJNA564811	SRR10098159	0.031032529	0.10150351	0.867462304	0	1.66E-06
PRJNA564811	SRR10098160	0.013345928	0.151581429	0.835072642	0	0
PRJNA564811	SRR10098161	0.065825646	0.109521534	0.824568375	0	8.44E-05
PRJNA564811	SRR10098162	0.111168354	0.097340807	0.791474951	0	1.59E-05
PRJNA564811	SRR10098163	0.064476184	0.152901613	0.782622203	0	0
PRJNA564811	SRR10098164	0.097972686	0.057147564	0.844879751	0	0
PRJNA564811	SRR10098165	0.053411832	0.109189934	0.837314978	0	8.33E-05
PRJNA564811	SRR10098166	0.013535553	0.139246635	0.847110551	0	0.000107261
PRJNA564811	SRR10098169	0.0206972	0.041046963	0.938255837	0	0
PRJNA564811	SRR10098170	0.018041271	0.052211446	0.929747283	0	0
PRJNA564811	SRR10098171	0.018234242	0.064014801	0.917750956	0	0
PRJNA564811	SRR10098172	0.057441804	0.094321045	0.848237151	0	0
PRJNA564811	SRR10098173	0.019839737	0.098123785	0.882036479	0	0
PRJNA564811	SRR10098174	0.031614771	0.085835315	0.882359894	0	0.00019002
PRJNA564811	SRR10098175	0.041676039	0.079159099	0.879164863	0	0
PRJNA564811	SRR10098176	0.018206679	0.073492702	0.908300618	0	0
PRJNA564811	SRR10098177	0.017649728	0.085221234	0.896601788	0	0.000527251
PRJNA564811	SRR10098178	0.027725663	0.253952565	0.718260313	0	6.15E-05
PRJNA564811	SRR10098179	0.077231928	0.251592483	0.671048577	0	0.000127012
PRJNA564811	SRR10098181	0.021976215	0.207252896	0.770750313	0	2.06E-05
PRJNA564811	SRR10098182	0.05841666	0.068781492	0.872801848	0	0
PRJNA564811	SRR10098183	0.014803464	0.2778758	0.707187155	0	0.000133581
PRJNA564811	SRR10098184	0.038171389	0.095651152	0.866177459	0	0
PRJNA564811	SRR10098185	0.069622555	0.240118762	0.690234931	0	2.38E-05
PRJNA718337	SRR14144811	0	0.224637831	0.105961791	0	0.669400378
PRJNA718337	SRR14144812	0.003571608	0.116983995	0.098294865	0	0.781149533
PRJNA718337	SRR14144813	0.002381072	0.148969494	0.108004351	0	0.740645083
PRJNA718337	SRR14144814	0.025043881	0.163086273	0.061181801	0	0.750688045
PRJNA718337	SRR14144815	0.011313577	0.148374268	0.066879984	0	0.773432171
PRJNA718337	SRR14144816	0.007752692	0.190901968	0.151328385	0	0.650016955
PRJNA718337	SRR14144818	0.007959938	0.168852766	0.180371223	0.001695326	0.641120747
PRJNA718337	SRR14144819	0.005824164	0.235926122	0.15197494	0.000374372	0.605900401
PRJNA718337	SRR14144820	0.026751427	0.235953542	0.199077428	0.002256905	0.535960698
PRJNA718337	SRR14144821	0.006572417	0.176442187	0.10791959	0.00107674	0.707989066
PRJNA718337	SRR14144822	0.005157578	0.136282752	0.0621394	0	0.796420269
PRJNA718337	SRR14144823	0.015571623	0.102925028	0.105665621	0.01144389	0.764393839
PRJNA718337	SRR14144824	0.004988344	0.093312954	0.196945295	0.005921844	0.698831564
PRJNA718337	SRR14144825	0.004627169	0.174453262	0.231718037	0	0.589201533
PRJNA718337	SRR14144826	0.016864161	0.310102678	0.209389278	0.008629197	0.455014685
PRJNA718337	SRR14144827	0.045156306	0.337539955	0.164502186	0.004254169	0.448547385
PRJNA718337	SRR14144828	0.020495799	0.170257633	0.17125002	5.60E-05	0.637940557
PRJNA718337	SRR14144829	0.016147975	0.180495181	0.239305352	0.003465879	0.560585612
PRJNA718337	SRR14144830	0.012850928	0.127396029	0.138387537	0.000217383	0.721148123
PRJNA718337	SRR14144832	0.006125464	0.252286878	0.143532969	1.72E-05	0.598037499
PRJNA718337	SRR14144834	0.006947374	0.230327784	0.090593681	0.000656356	0.671474805
PRJNA718337	SRR14144835	0.009189251	0.16068696	0.084349298	2.94E-05	0.745745081
PRJNA718337	SRR14144836	0.006300777	0.422017575	0.045753522	0.000135647	0.525792479
PRJNA718337	SRR14144837	0.008105232	0.184378622	0.161119972	3.29E-05	0.646363297
PRJNA718337	SRR14144838	0.002677889	0.229791415	0.094939909	0.00512706	0.667463728
PRJNA718337	SRR14144839	0.013236732	0.290162869	0.19996867	0.00024676	0.496384969
PRJNA718337	SRR14144840	0.009497685	0.221572371	0.134609874	0.00132513	0.632994941
PRJNA718337	SRR14144841	0.006701415	0.196101679	0.111020403	0.007520438	0.678656065
PRJNA718337	SRR14144842	0.061422565	0.12008533	0.198746079	0.000255168	0.619490859
PRJNA718337	SRR14144843	0.006220281	0.194390488	0.228584644	0.001178929	0.569625659
PRJNA718337	SRR14144844	0.00527299	0.222623623	0.082029317	0.001992964	0.688081106
PRJNA718337	SRR14144845	0.002827371	0.32291002	0.154319472	0.002119177	0.51782396
PRJNA718337	SRR14144846	0.011017449	0.305525119	0.09586511	0.000619645	0.586972677
PRJNA718337	SRR14144847	0.006044399	0.277462669	0.203609221	0.001593373	0.511290339
PRJNA718337	SRR14144848	0.001951623	0.433653208	0.204127492	0.000399858	0.359867819
PRJNA718337	SRR14144849	0.036527792	0.333642286	0.120216982	0.00204172	0.507571219
PRJNA718337	SRR14144850	0.010410318	0.312101042	0.224654322	0.014497455	0.438336863
PRJNA718337	SRR14144851	0.00585337	0.143204481	0.206373837	0.001499659	0.643068653
PRJNA718337	SRR14144852	0.018104568	0.27603245	0.154023683	0.002040893	0.549798405
PRJNA718337	SRR14144853	0.011890878	0.312575692	0.042739113	0.002543269	0.630251048
PRJNA718337	SRR14144854	0.009305769	0.328970811	0.04840774	0.001755504	0.611560177
PRJNA718337	SRR14144855	0.006486115	0.228161358	0.132364717	0.000470591	0.63251722
PRJNA718337	SRR14144856	0.004180677	0.305149809	0.085443783	7.21E-05	0.605153598
PRJNA718337	SRR14144857	0.006834534	0.157457506	0.17622126	0.000234481	0.659252219
PRJNA718337	SRR14144858	0.003771231	0.279710248	0.180218548	0.000105623	0.536194351
PRJNA718337	SRR14144859	0.007657703	0.18437665	0.20881316	0.001928447	0.59722404
PRJNA718337	SRR14144860	0.010108443	0.442293481	0.186794656	0.003170732	0.357632688
PRJNA718337	SRR14144861	0.005747753	0.284616076	0.195470895	0.001218348	0.512946928
PRJNA718337	SRR14144862	0.030750311	0.182143397	0.206593604	0.008295235	0.572217452
PRJNA718337	SRR14144863	0.010897272	0.235511576	0.184048861	0.004110625	0.565431666
PRJNA718337	SRR14144864	0.004593527	0.278187613	0.209605955	0.000510458	0.507102446
PRJNA718337	SRR14144865	0.006012912	0.279949209	0.347520049	0.002734831	0.363782999
PRJNA718337	SRR14144866	0.008357992	0.369235137	0.141069275	0.000598625	0.480738971
PRJNA718337	SRR14144867	0.009472318	0.21658676	0.236978079	0.000710437	0.536252406
PRJNA718337	SRR14144868	0.019719064	0.270459406	0.258504917	0.002586408	0.448730204
PRJNA718337	SRR14144869	0.018303983	0.210916034	0.356953837	0.003327994	0.410498153
PRJNA718337	SRR14144870	0.015297604	0.236255187	0.271460234	0.00108641	0.475900564
PRJNA718337	SRR14144871	0.009605975	0.244128433	0.199960614	8.20E-06	0.546296773
PRJNA718337	SRR14144872	0.008231423	0.421424619	0.216522539	0.000783223	0.353038196
PRJNA718337	SRR14144873	0.004019991	0.255617182	0.283254582	0.002472053	0.454636191
PRJNA718337	SRR14144874	0.006304871	0.273657358	0.309173436	0.001130829	0.409733505
PRJNA718337	SRR14144875	0.00924975	0.267794011	0.230100541	0.004002112	0.488853587
PRJNA718337	SRR14144876	0.018439659	0.212091906	0.272245325	0.000544382	0.496678728
PRJNA718337	SRR14144877	0.006161785	0.350721845	0.270296663	0.001786555	0.371033152
PRJNA718337	SRR14144878	0.006245724	0.292304208	0.238980989	0.000390926	0.462078154
PRJNA718337	SRR14144879	0.00671006	0.279225726	0.263714245	0.000395787	0.449954182
PRJNA718337	SRR14144880	0.013262153	0.079069139	0.40549545	0.004561217	0.497612041
PRJNA718337	SRR14144881	0.006744509	0.24138503	0.256947195	0.001919401	0.493003866
PRJNA718337	SRR14144882	0.012032173	0.208195914	0.288853461	0.000504717	0.490413734
PRJNA718337	SRR14144883	0.006480007	0.169857689	0.329069962	0.001791036	0.492801307
PRJNA718337	SRR14144884	0.015066447	0.274537847	0.336376988	0.004635759	0.369382959
PRJNA718337	SRR14144885	0.008517498	0.150047118	0.295262018	0.002077919	0.544095447
PRJNA718337	SRR14144886	0.017522648	0.190434507	0.338747257	0.002512368	0.45078322
PRJNA718337	SRR14144887	0.016636247	0.174018711	0.351476805	0.002509905	0.455358332
PRJNA718337	SRR14144888	0.008446193	0.193954917	0.334285878	0.0038557	0.459457312
PRJNA718337	SRR14144889	0.007506809	0.267647602	0.251137888	0.002067771	0.471639929
PRJNA718337	SRR14144890	0.00638362	0.29390748	0.317107742	0.000393851	0.382207307
PRJNA718337	SRR14144891	0.006020036	0.295453129	0.22438968	0.000822633	0.473314522
PRJNA718337	SRR14144892	0.007080884	0.299390917	0.214249144	0.000943523	0.478335533
PRJNA718337	SRR14144893	0.022738119	0.227107019	0.307386043	0.000953884	0.441814935
PRJNA718337	SRR14144894	0.005087989	0.211683957	0.329726885	0.003428069	0.450073099
PRJNA718337	SRR14144895	0.00878199	0.301616332	0.345538671	0.004596588	0.339466419
PRJNA718337	SRR14144896	0.003118903	0.213432487	0.335405323	0.00179238	0.446250908
PRJNA718337	SRR14144897	0.010549279	0.326317592	0.32230342	0.001394814	0.339434895
